tbl;Year;quarter;citymarketid_1;citymarketid_2;city1;city2;cur_passengers;cur_fare;ly_fare;ly_passengers;amount_change;percent_change;amount_change_pax;percent_change_pax;Geocoded_City1;Geocoded_City2
Table 4;2,021;1;32,441;31,703;Jackson, WY;New York City, NY (Metropolitan Area);14,680;284.97;465.96;18,960;-180.99;-0.3884;-4,280;-0.2257;;
Table 4;2,021;1;32,467;30,559;Miami, FL (Metropolitan Area);Seattle, WA;42,010;168.90;307.19;66,020;-138.29;-0.4502;-24,010;-0.3637;;
Table 4;2,021;1;32,467;34,057;Miami, FL (Metropolitan Area);Portland, OR;18,950;184.81;310.26;25,320;-125.45;-0.4043;-6,370;-0.2516;;
Table 4;2,021;1;32,575;31,454;Los Angeles, CA (Metropolitan Area);Orlando, FL;138,700;144.57;229.88;216,060;-85.32;-0.3711;-77,360;-0.3580;;
Table 4;2,021;1;32,575;31,650;Los Angeles, CA (Metropolitan Area);Minneapolis/St. Paul, MN;60,000;145.88;235.30;141,240;-89.42;-0.3800;-81,240;-0.5752;;
Table 4;2,021;1;32,575;32,467;Los Angeles, CA (Metropolitan Area);Miami, FL (Metropolitan Area);192,110;197.68;313.83;274,990;-116.15;-0.3701;-82,880;-0.3014;;
Table 4;2,021;1;32,575;34,027;Los Angeles, CA (Metropolitan Area);West Palm Beach/Palm Beach, FL;12,570;221.24;355.36;14,540;-134.13;-0.3774;-1,970;-0.1355;;
Table 4;2,021;1;32,575;34,100;Los Angeles, CA (Metropolitan Area);Philadelphia, PA;64,140;172.92;297.06;133,860;-124.14;-0.4179;-69,720;-0.5208;;
Table 4;2,021;1;33,198;30,693;Kansas City, MO;Nashville, TN;13,380;139.10;215.46;22,760;-76.36;-0.3544;-9,380;-0.4121;;
Table 4;2,021;1;34,100;34,057;Philadelphia, PA;Portland, OR;7,310;175.26;284.86;12,400;-109.60;-0.3848;-5,090;-0.4105;;
Table 4;2,020;4;30,194;31,703;Dallas/Fort Worth, TX;New York City, NY (Metropolitan Area);116,050;136.72;269.02;546,770;-132.30;-0.4918;-430,720;-0.7878;;
Table 4;2,020;4;30,325;31,423;Denver, CO;Des Moines, IA;13,180;113.75;189.89;25,660;-76.15;-0.4010;-12,480;-0.4864;;
Table 4;2,020;4;30,397;31,057;Atlanta, GA (Metropolitan Area);Charlotte, NC;11,540;150.92;254.54;49,510;-103.62;-0.4071;-37,970;-0.7669;;
Table 4;2,020;4;30,397;33,244;Atlanta, GA (Metropolitan Area);Memphis, TN;22,110;144.48;253.57;41,770;-109.09;-0.4302;-19,660;-0.4707;;
Table 4;2,020;4;30,423;31,703;Austin, TX;New York City, NY (Metropolitan Area);50,860;154.63;275.24;238,540;-120.61;-0.4382;-187,680;-0.7868;;
Table 4;2,020;4;30,599;30,977;Birmingham, AL;Chicago, IL;10,820;133.11;222.40;35,190;-89.29;-0.4015;-24,370;-0.6925;;
Table 4;2,020;4;30,713;31,454;Boise, ID;Orlando, FL;8,370;196.20;327.03;9,650;-130.83;-0.4001;-1,280;-0.1326;;
Table 4;2,020;4;30,721;33,105;Boston, MA (Metropolitan Area);Cincinnati, OH;9,630;167.24;283.28;54,260;-116.03;-0.4096;-44,630;-0.8225;;
Table 4;2,020;4;31,057;30,198;Charlotte, NC;Pittsburgh, PA;10,330;154.55;272.25;28,290;-117.70;-0.4323;-17,960;-0.6348;;
Table 4;2,020;4;31,057;30,647;Charlotte, NC;Cleveland, OH (Metropolitan Area);15,580;150.12;250.57;35,720;-100.45;-0.4009;-20,140;-0.5638;;
Table 4;2,020;4;31,057;30,977;Charlotte, NC;Chicago, IL;48,130;125.98;229.33;120,900;-103.35;-0.4506;-72,770;-0.6019;;
Table 4;2,020;4;31,057;31,123;Charlotte, NC;St. Louis, MO;14,260;152.10;277.98;28,150;-125.88;-0.4528;-13,890;-0.4934;;
